composer_id;first_name;last_name;birth_date;birth_place;death_date;death_place;wiki_page
80;'Johann Sebastian';'Bach';'1685-03-21';'Eisenach';'1750-07-28';'Leipzig';'https://en.wikipedia.org/wiki/Johann_Sebastian_Bach'
81;'Ludwig';'van Beethoven';'1770-12-16';'Bonn';'1827-03-26';'Vienna';'https://en.wikipedia.org/wiki/Ludwig_van_Beethoven'
82;'George';'Handel';'1685-03-05';'Halle, Duchy of Magdeburg, Bradenburg-Prussia';'1759-04-14';'London,England';'https://en.wikipedia.org/wiki/George_Frideric_Handel'
83;'Wolfgang Amadeus';'Mozart';'1756-01-27';'Salzburg';'1791-12-05';'Vienna,Austria';'https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart'
84;'Frédéric';'Chopin';'1810-03-01';'Zelazowa Wola, Duchy of Warsaw';'1849-10-17';'Paris,France';'https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Chopin'
85;'Henry';'Purcell';'1659-09-10';'Westminster, London, England';'1695-11-21';'Marcham Street,London,England';'https://en.wikipedia.org/wiki/Henry_Purcell'
86;'Johann Christian';'Bach';'1735-09-05';'Leipzig, Germany';'1782-01-01';'London,England';'https://en.wikipedia.org/wiki/Johann_Christian_Bach'
87;'Wilhelm Friedmann';'Bach';'1710-11-22';'Weimar';'1784-07-01';'Berlin';'https://en.wikipedia.org/wiki/Wilhelm_Friedemann_Bach'
88;'Mikhail';'Glinka';'1804-06-01';'Novospasskoye, Smolensk Governorate';'1857-02-15';'Berlin';'https://en.wikipedia.org/wiki/Mikhail_Glinka'
89;'Pyotr';'Tchaikovsky';'1840-05-07';'Votkinsk, Vyatka Governorate';'1893-11-06';'Saint Petersburg';'https://en.wikipedia.org/wiki/Pyotr_Ilyich_Tchaikovsky'
